nomenclature_id,nomeclature_Name,created_at,updated_at,delete_Boolean
167,FUNCTION GENERATOR,4/6/2011 9:58,4/6/2011 9:58,0
168,SMART PHONE,4/6/2011 9:58,4/6/2011 9:58,0
169,2F2203438544D3200000009F,4/6/2011 9:58,4/6/2011 9:58,0
170,"COMPUTER, DESKTOP",4/6/2011 9:58,4/6/2011 9:58,0
171,"COMPUTER, LAPTOP",4/6/2011 9:58,4/6/2011 9:58,0
172,ENCRYPT-DECRYPT EQUIPMENT,4/6/2011 9:58,4/6/2011 9:58,0
173,"EXTERNAL DRIVE, PORTABLE",4/6/2011 9:58,4/6/2011 9:58,0
174,MONITOR,4/6/2011 9:58,4/6/2011 9:58,0
175,E.L.V.I.S.,4/6/2011 9:58,4/6/2011 9:58,0
176,OSCILLOSCOPE,4/6/2011 9:58,4/6/2011 9:58,0
177,"POWER SUPPLY, DC",4/6/2011 9:58,4/6/2011 9:58,0
178,"MULTIMETER, BENCH",4/6/2011 9:58,4/6/2011 9:58,0
179,"MULTIMETER, HAND",4/6/2011 9:58,4/6/2011 9:58,0
180,"OSCILLOSCOPE, HAND",4/6/2011 9:58,4/6/2011 9:58,0
181,FREQUENCY COUNTER,4/6/2011 9:58,4/6/2011 9:58,0
182,CHIP PROGRAMMER,4/6/2011 9:58,4/6/2011 9:58,0
183,ARGON LASER,4/6/2011 9:58,4/6/2011 9:58,0
184,HEAT EXCHANGER,4/6/2011 9:58,4/6/2011 9:58,0
185,LCR METER,4/6/2011 9:58,4/6/2011 9:58,0
186,OPTICAL POWER METER,4/6/2011 9:58,4/6/2011 9:58,0
187,OPTICAL TABLE,4/6/2011 9:58,4/6/2011 9:58,0
188,PROBE STATION,4/6/2011 9:58,4/6/2011 9:58,0
189,"CONTROL UNIT, PACKBOT",4/6/2011 9:58,4/6/2011 9:58,0
190,"ROBOT, PACKBOT",4/6/2011 9:58,4/6/2011 9:58,0
191,"ANALYZER, LIGHTWAVE COMPONENT",4/6/2011 9:58,4/6/2011 9:58,0
192,"ANALYZER, NETWORK",4/6/2011 9:58,4/6/2011 9:58,0
193,LAN GPIB GATEWAY,4/6/2011 9:58,4/6/2011 9:58,0
194,LOGIC ANALYZER,4/6/2011 9:58,4/6/2011 9:58,0
195,"AMPLIFIER, MICROWAVE",4/6/2011 9:58,4/6/2011 9:58,0
196,"ANALYZER, SPECTRUM",4/6/2011 9:58,4/6/2011 9:58,0
