model_id,model_Name,make_id,nom_id,created_at,updated_at,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,seriveLife,maintainence_type
5160,33250A,83,167,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,1,NULL
5161,A855 DROID,84,168,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5162,A955 DROID 2,84,168,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5163,PB99100 NEXUS ONE,85,168,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5165,Optiplex 755,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5166,Optiplex 760,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5167,Optiplex GX620,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5168,2400,87,171,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5169,M65,87,171,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5170,KG-175D,88,172,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5171,MT500,89,173,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5172,1901FP,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5173,Elvis II,90,175,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5174,33120A,83,167,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5175,54622D,83,176,2011:04:06 10:03,2011:04:11 18:25,Agilent 54622D.jpg,image/pjpeg,7799,4/11/2011 18:25,NULL,NULL
5176,E3631A,83,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5177,34405A,83,178,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5178,U1241A,83,179,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5179,MSO6052A,83,176,2011:04:06 10:03,2011:04:11 18:26,Agilent MSO6052A.jpg,image/pjpeg,27309,4/11/2011 18:26,NULL,NULL
5180,U1602A,83,180,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5181,5384A,91,181,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5182,7200xp,92,182,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5183,IMAC,93,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5184,Latitude E6410,87,171,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5185,1908FPb,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5186,2408WFPb,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5187,3500,94,183,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5188,33737,95,184,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5189,4263B,83,185,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5190,34410A,83,178,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5191,ML9001A,96,186,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5192,None,97,187,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5193,MSO6054A,83,176,2011:04:06 10:03,2011:04:11 18:27,Agilent MSO6054A.jpg,image/pjpeg,48594,4/11/2011 18:27,NULL,NULL
5194,6000,99,188,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5195,ROM 5145,100,189,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
