nomenclature_id,nomeclature_Name,created_at,updated_at
167,FUNCTION GENERATOR,4/6/2011 9:58,4/6/2011 9:58
168,SMART PHONE,4/6/2011 9:58,4/6/2011 9:58
169,2F2203438544D3200000009F,4/6/2011 9:58,4/6/2011 9:58
170,"COMPUTER, DESKTOP",4/6/2011 9:58,4/6/2011 9:58
171,"COMPUTER, LAPTOP",4/6/2011 9:58,4/6/2011 9:58
172,ENCRYPT-DECRYPT EQUIPMENT,4/6/2011 9:58,4/6/2011 9:58
173,"EXTERNAL DRIVE, PORTABLE",4/6/2011 9:58,4/6/2011 9:58
174,MONITOR,4/6/2011 9:58,4/6/2011 9:58
175,E.L.V.I.S.,4/6/2011 9:58,4/6/2011 9:58
176,OSCILLOSCOPE,4/6/2011 9:58,4/6/2011 9:58
177,"POWER SUPPLY, DC",4/6/2011 9:58,4/6/2011 9:58
178,"MULTIMETER, BENCH",4/6/2011 9:58,4/6/2011 9:58
179,"MULTIMETER, HAND",4/6/2011 9:58,4/6/2011 9:58
180,"OSCILLOSCOPE, HAND",4/6/2011 9:58,4/6/2011 9:58
181,FREQUENCY COUNTER,4/6/2011 9:58,4/6/2011 9:58
182,CHIP PROGRAMMER,4/6/2011 9:58,4/6/2011 9:58
183,ARGON LASER,4/6/2011 9:58,4/6/2011 9:58
184,HEAT EXCHANGER,4/6/2011 9:58,4/6/2011 9:58
185,LCR METER,4/6/2011 9:58,4/6/2011 9:58
186,OPTICAL POWER METER,4/6/2011 9:58,4/6/2011 9:58
187,OPTICAL TABLE,4/6/2011 9:58,4/6/2011 9:58
188,PROBE STATION,4/6/2011 9:58,4/6/2011 9:58
189,"CONTROL UNIT, PACKBOT",4/6/2011 9:58,4/6/2011 9:58
190,"ROBOT, PACKBOT",4/6/2011 9:58,4/6/2011 9:58
191,"ANALYZER, LIGHTWAVE COMPONENT",4/6/2011 9:58,4/6/2011 9:58
192,"ANALYZER, NETWORK",4/6/2011 9:58,4/6/2011 9:58
193,LAN GPIB GATEWAY,4/6/2011 9:58,4/6/2011 9:58
194,LOGIC ANALYZER,4/6/2011 9:58,4/6/2011 9:58
195,"AMPLIFIER, MICROWAVE",4/6/2011 9:58,4/6/2011 9:58
196,"ANALYZER, SPECTRUM",4/6/2011 9:58,4/6/2011 9:58
197,GPS SIMULATOR,4/6/2011 9:58,4/6/2011 9:58
198,"MICROSCOPE, MONOCULAR",4/6/2011 9:58,4/6/2011 9:58
199,MICROWAVE TRAINER KIT,4/6/2011 9:58,4/6/2011 9:58
200,NOISE SOURCE,4/6/2011 9:58,4/6/2011 9:58
201,"POWER METER, RF",4/6/2011 9:58,4/6/2011 9:58
202,POWER SENSOR,4/6/2011 9:58,4/6/2011 9:58
203,SERIAL BERT,4/6/2011 9:58,4/6/2011 9:58
204,SIGNAL GENERATOR,4/6/2011 9:58,4/6/2011 9:58
205,"ANALYZER, OPTICAL SPECTRUM",4/6/2011 9:58,4/6/2011 9:58
206,"DISPLAY UNIT, OPTICAL SPECTRUM ANALYZER",4/6/2011 9:58,4/6/2011 9:58
207,DRIVER,4/6/2011 9:58,4/6/2011 9:58
208,FIBER COUPLED DFB LASER SOURCE,4/6/2011 9:58,4/6/2011 9:58
209,FIBER COUPLED LASER SOURCE,4/6/2011 9:58,4/6/2011 9:58
210,LASER OMNICHROME TUNABLE ARGON ION,4/6/2011 9:58,4/6/2011 9:58
211,LIGHTWAVE RECEIVER,4/6/2011 9:58,4/6/2011 9:58
212,LIGHTWAVE SOURCE,4/6/2011 9:58,4/6/2011 9:58
213,LOW NOISE PREAMPLIFIER,4/6/2011 9:58,4/6/2011 9:58
214,MULTI-FUNCTION OPTICAL METER,4/6/2011 9:58,4/6/2011 9:58
215,MULTI-WAVELENGTH METER,4/6/2011 9:58,4/6/2011 9:58
216,"OPTICAL UNIT, OPTICAL SPECTRUM ANALYZER",4/6/2011 9:58,4/6/2011 9:58
217,POLARIZATION CONTROLLER,4/6/2011 9:58,4/6/2011 9:58
218,POWER METER,4/6/2011 9:58,4/6/2011 9:58
219,"POWER METER, DIGITAL",4/6/2011 9:58,4/6/2011 9:58
220,"POWER METER, OPTICAL",4/6/2011 9:58,4/6/2011 9:58
221,PULSE GENERATOR,4/6/2011 9:58,4/6/2011 9:58
222,SIGNAL PROCESSOR,4/6/2011 9:58,4/6/2011 9:58
223,SOURCE METER,4/6/2011 9:58,4/6/2011 9:58
224,STABALIZED LIGHT SOURCE,4/6/2011 9:58,4/6/2011 9:58
225,TUNABLE SEMICONDUCTOR LASER,4/6/2011 9:58,4/6/2011 9:58
226,CURRENT PROBE,4/6/2011 9:58,4/6/2011 9:58
227,DYNAMOMETER,4/6/2011 9:58,4/6/2011 9:58
228,FUEL CELL SYSTEM,4/6/2011 9:58,4/6/2011 9:58
229,GAUSSMETER,4/6/2011 9:58,4/6/2011 9:58
230,MOBILE ELECTRICAL WORK CENTER,4/6/2011 9:58,4/6/2011 9:58
231,POWER ANALYZER,4/6/2011 9:58,4/6/2011 9:58
232,POWER LINE MONITOR,4/6/2011 9:58,4/6/2011 9:58
233,TORQUE/SPEED CONTROLLER,4/6/2011 9:58,4/6/2011 9:58
234,"ARBOR PRESS, MANUAL",4/6/2011 9:58,4/6/2011 9:58
235,"BRAKE, BENDING 24'' MANUAL",4/6/2011 9:58,4/6/2011 9:58
236,"BUFFER, PEDESTAL",4/6/2011 9:58,4/6/2011 9:58
237,"CONTROL, INTELITEK",4/6/2011 9:58,4/6/2011 9:58
238,"DRILL PRESS, SENSITIVE",4/6/2011 9:58,4/6/2011 9:58
239,"FORKLIFT, MANUAL",4/6/2011 9:58,4/6/2011 9:58
